Title,Original U.S. theatrical release date[rls 1],Other Theatrical Release Date,Animation studio[st 2],CoCredit,Released By,Film Type,Live-action / Animation hybrid,"Not produced by Disney, but released under its label.",US Release Exceptions,Released under the Touchstone Pictures label,Released by Disney outside North America,Released by Miramax Films when the studio was a subsidiary of Disney at the time of release,Release Note
Bolt,11/21/2008,,Walt Disney Animation Studios (1937 - Present), Walt Disney Pictures,Walt Disney Studios Motion Pictures ,Animation,,,,,,,
Up,5/29/2009,,Pixar Animation Studios (1995–present), Walt Disney Pictures,Walt Disney Studios Motion Pictures ,Animation,,,,,,,
Ponyo,8/14/2009,7/19/2008,Studio Ghibli,,Walt Disney Studios Motion Pictures ,Animation,,"Not produced by Disney, but released under its label.",,,,," Original date of release was July 19, 2008, US release August 14, 2009"
Tinker Bell and the Lost Treasure,9/3/2009,"September 3, 2009 (Argentina)",Disneytoon Studios (1990–2015), Walt Disney Pictures,Walt Disney Studios Motion Pictures ,Animation,,,No Theatrical US Release,,,,
A Christmas Carol,11/3/2009,"November 3, 2009 (London)",ImageMovers Digital / owned by Disney from 2007 to 2010, Walt Disney Pictures,Walt Disney Studios Motion Pictures ,Animation,,,,,,,
The Princess and the Frog,12/11/2009,,Walt Disney Animation Studios (1937 - Present), Walt Disney Pictures,Walt Disney Studios Motion Pictures ,Animation,,,,,,,
Toy Story 3,6/18/2010,,Pixar Animation Studios (1995–present), Walt Disney Pictures,Walt Disney Studios Motion Pictures ,Animation,,,,,,,
Tales from Earthsea,8/13/2010,7/29/2006,Studio Ghibli,,Walt Disney Studios Motion Pictures ,Animation,,"Not produced by Disney, but released under its label.",,,,,"Original date of release was July 29, 2006, US release August 13, 2010"
Tinker Bell and the Great Fairy Rescue,8/13/2010,"August 13, 2010 (United Kingdom)",Disneytoon Studios (1990–2015), Walt Disney Pictures,Walt Disney Studios Motion Pictures ,Animation,,,No Theatrical US Release,,,,
Tangled,11/24/2010,,Walt Disney Animation Studios (1937 - Present), Walt Disney Pictures,Walt Disney Studios Motion Pictures ,Animation,,,,,,,
Gnomeo & Juliet,2/11/2011,,Starz Animation and Rocket Pictures, Walt Disney Pictures,Touchstone Pictures,Animation,,,,Released under the Touchstone Pictures label,,,
Mars Needs Moms,3/11/2011,,ImageMovers Digital / owned by Disney from 2007 to 2010, Walt Disney Pictures,Walt Disney Studios Motion Pictures ,Animation,,,,,,,
Cars 2,6/24/2011,,Pixar Animation Studios (1995–present), Walt Disney Pictures,Walt Disney Studios Motion Pictures ,Animation,,,,,,,
Winnie the Pooh,7/15/2011,,Walt Disney Animation Studios (1937 - Present), Walt Disney Pictures,Walt Disney Studios Motion Pictures ,Animation,Live-action / Animation hybrid,,,,,,
The Secret World of Arrietty,2/17/2012,7/17/2010,Studio Ghibli,,Walt Disney Studios Motion Pictures ,Animation,,"Not produced by Disney, but released under its label.",,,,,"Original date of release was July 17, 2010, US release February 17, 2012"
Arjun: The Warrior Prince,5/25/2012,,Yash Raj Films / The Walt Disney Company India Pvt. Ltd.,,Walt Disney Studios Motion Pictures ,Animation,,"Not produced by Disney, but released under its label.",,,Released by Disney outside North America,,
Brave,6/22/2012,,Pixar Animation Studios (1995–present), Walt Disney Pictures,Walt Disney Studios Motion Pictures ,Animation,,,,,,,
Secret of the Wings,8/16/2012,"August 16, 2012 (Ukraine)",Disneytoon Studios (1990–2015), Walt Disney Pictures,Walt Disney Studios Motion Pictures ,Animation,,,Limited US release,,,,
Frankenweenie,10/5/2012,,Tim Burton Productions, Walt Disney Pictures,Released by Walt Disney Pictures,Animation,,,,,,,
Wreck-It Ralph,11/2/2012,,Walt Disney Animation Studios (1937 - Present), Walt Disney Pictures,Walt Disney Studios Motion Pictures ,Animation,,,,,,,
Monsters University,6/21/2013,,Pixar Animation Studios (1995–present), Walt Disney Pictures,Walt Disney Studios Motion Pictures ,Animation,,,,,,,
Planes,8/9/2013,,Disneytoon Studios (1990–2015), Walt Disney Pictures,Walt Disney Studios Motion Pictures ,Animation,,,,,,,
Frozen,11/27/2013,,Walt Disney Animation Studios (1937 - Present), Walt Disney Pictures,Walt Disney Studios Motion Pictures ,Animation,,,,,,,
The Pirate Fairy,2/13/2014,"February 13, 2014 (Denmark)",Disneytoon Studios (1990–2015), Walt Disney Pictures,Walt Disney Studios Motion Pictures ,Animation,,,Limited US release,,,,
The Wind Rises,2/21/2014,7/20/2013,Studio Ghibli,,Touchstone Pictures,Animation,,"Not produced by Disney, but released under its label.",,Released under the Touchstone Pictures label,,,"Original date of release was July 20, 2013, US release February 21, 2014"
Planes: Fire & Rescue,7/18/2014,,Disneytoon Studios (1990–2015), Walt Disney Pictures,Walt Disney Studios Motion Pictures ,Animation,,,,,,,
Big Hero 6,11/7/2014,,Walt Disney Animation Studios (1937 - Present), Walt Disney Pictures,Walt Disney Studios Motion Pictures ,Animation,,,,,,,
