,title,tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,_merge
3544,Muppet Treasure Island,tt0117110,movie,Muppet Treasure Island,Muppet Treasure Island,0,1996,\N,99,"Action,Adventure,Comedy",both
3551,Muppets Most Wanted,tt2281587,movie,Muppets Most Wanted,Muppets Most Wanted,0,2014,\N,107,"Adventure,Comedy,Crime",both
3563,My Favorite Martian,tt0120764,movie,My Favorite Martian,My Favorite Martian,0,1999,\N,94,"Comedy,Family,Sci-Fi",both
3566,My Neighbors The Yamadas,tt0206013,movie,My Neighbors The Yamadas,Hôhokekyo tonari no Yamada-kun,0,1999,\N,104,"Animation,Comedy,Family",both
3568,Napoleon And Samantha,tt0068990,movie,Napoleon And Samantha,Napoleon and Samantha,0,1972,\N,92,"Adventure,Drama",both
3570,National Treasure,tt0368891,movie,National Treasure,National Treasure,0,2004,\N,131,"Action,Adventure,Mystery",both
3584,National Treasure,tt8292728,movie,National Treasure,Gui bao,0,1983,\N,96,Drama,both
3586,National Treasure: Book Of Secrets,tt0465234,movie,National Treasure: Book Of Secrets,National Treasure: Book of Secrets,0,2007,\N,124,"Action,Adventure,Mystery",both
3591,Never A Dull Moment,tt0063341,movie,Never A Dull Moment,Never a Dull Moment,0,1968,\N,99,"Comedy,Crime,Family",both
3598,Never Cry Wolf,tt0086005,movie,Never Cry Wolf,Never Cry Wolf,0,1983,\N,105,"Adventure,Drama",both
3600,Newsies,tt0104990,movie,Newsies,Newsies,0,1992,\N,121,"Drama,Family,History",both
3606,Night Crossing,tt0082810,movie,Night Crossing,Night Crossing,0,1982,\N,107,"Drama,Family,History",both
3608,"Nikki, Wild Dog Of The North",tt0055232,movie,"Nikki, Wild Dog Of The North","Nikki, Wild Dog of the North",0,1961,\N,74,"Adventure,Family",both
3611,No Deposit No Return,tt8728662,movie,No Deposit No Return,No Deposit No Return,1,1975,\N,54,Adult,both
3612,"Now You See Him, Now You Don'T",tt0069031,movie,"Now You See Him, Now You Don'T","Now You See Him, Now You Don't",0,1972,\N,88,"Comedy,Family,Sci-Fi",both
3622,Oceans,tt0765128,movie,Oceans,Océans,0,2009,\N,104,Documentary,both
3628,Oceans,tt1171257,movie,Oceans,Oceans,0,1971,\N,\N,"Documentary,Sport",both
3663,Old Dogs,tt0976238,movie,Old Dogs,Old Dogs,0,2009,\N,88,"Comedy,Family",both
3664,Old Dogs,tt1130090,movie,Old Dogs,Old Dogs,0,2009,\N,\N,"Comedy,Crime,Drama",both
3671,Old Yeller,tt0050798,movie,Old Yeller,Old Yeller,0,1957,\N,83,"Adventure,Drama,Family",both
3677,Oliver & Company,tt0095776,movie,Oliver & Company,Oliver & Company,0,1988,\N,74,"Adventure,Animation,Comedy",both
3719,Once Upon A Warrior,tt1621994,movie,Once Upon A Warrior,Anaganaga O Dheerudu,0,2011,\N,133,"Action,Adventure,Family",both
3720,One Little Indian,tt0070481,movie,One Little Indian,One Little Indian,0,1973,\N,90,"Comedy,Family,Western",both
3726,One Magic Christmas,tt0089731,movie,One Magic Christmas,One Magic Christmas,0,1985,\N,89,"Family,Fantasy",both
3727,One Of Our Dinosaurs Is Missing,tt0075016,movie,One Of Our Dinosaurs Is Missing,One of Our Dinosaurs Is Missing,0,1975,\N,94,"Adventure,Comedy,Family",both
3749,Onward,tt7146812,movie,Onward,Onward,0,2020,\N,102,"Adventure,Animation,Comedy",both
3751,Operation Dumbo Drop,tt0114048,movie,Operation Dumbo Drop,Operation Dumbo Drop,0,1995,\N,107,"Action,Adventure,Comedy",both
3752,Oz The Great And Powerful,tt1623205,movie,Oz The Great And Powerful,Oz the Great and Powerful,0,2013,\N,130,"Adventure,Family,Fantasy",both
3774,Peter Pan,tt0046183,movie,Peter Pan,Peter Pan,0,1953,\N,77,"Adventure,Animation,Family",both
3802,Pete'S Dragon,tt0076538,movie,Pete'S Dragon,Pete's Dragon,0,1977,\N,128,"Adventure,Animation,Comedy",both
3804,Pete'S Dragon,tt2788732,movie,Pete'S Dragon,Pete's Dragon,0,2016,\N,102,"Action,Adventure,Comedy",both
3812,Pinocchio,tt0032910,movie,Pinocchio,Pinocchio,0,1940,\N,88,"Adventure,Animation,Comedy",both
3874,Pirates Of The Caribbean: At World'S End,tt0449088,movie,Pirates Of The Caribbean: At World'S End,Pirates of the Caribbean: At World's End,0,2007,\N,169,"Action,Adventure,Fantasy",both
3879,Pirates Of The Caribbean: Dead Man'S Chest,tt0383574,movie,Pirates Of The Caribbean: Dead Man'S Chest,Pirates of the Caribbean: Dead Man's Chest,0,2006,\N,151,"Action,Adventure,Fantasy",both
3885,Pirates Of The Caribbean: Dead Men Tell No Tales,tt1790809,movie,Pirates Of The Caribbean: Dead Men Tell No Tales,Pirates of the Caribbean: Dead Men Tell No Tales,0,2017,\N,129,"Action,Adventure,Fantasy",both
3896,Pirates Of The Caribbean: On Stranger Tides,tt1298650,movie,Pirates Of The Caribbean: On Stranger Tides,Pirates of the Caribbean: On Stranger Tides,0,2011,\N,137,"Action,Adventure,Fantasy",both
3902,Pirates Of The Caribbean: The Curse Of The Black Pearl,tt0325980,movie,Pirates Of The Caribbean: The Curse Of The Black Pearl,Pirates of the Caribbean: The Curse of the Black Pearl,0,2003,\N,143,"Action,Adventure,Fantasy",both
3912,Planes,tt1691917,movie,Planes,Planes,0,2013,\N,91,"Adventure,Animation,Comedy",both
3932,Planes: Fire & Rescue,tt2980706,movie,Planes: Fire & Rescue,Planes: Fire & Rescue,0,2014,\N,83,"Adventure,Animation,Comedy",both
3936,Pocahontas,tt0114148,movie,Pocahontas,Pocahontas,0,1995,\N,81,"Adventure,Animation,Drama",both
3952,Pocahontas,tt9047432,movie,Pocahontas,Pocahontas,0,1995,\N,53,Animation,both
3965,Polly,tt1924347,movie,Polly,Polly,0,2010,\N,50,Horror,both
3981,Pollyanna,tt0011588,movie,Pollyanna,Pollyanna,0,1920,\N,58,"Comedy,Drama,Family",both
3982,Pollyanna,tt0054195,movie,Pollyanna,Pollyanna,0,1960,\N,134,"Comedy,Drama,Family",both
3988,Prince Of Persia: The Sands Of Time,tt0473075,movie,Prince Of Persia: The Sands Of Time,Prince of Persia: The Sands of Time,0,2010,\N,116,"Action,Adventure,Fantasy",both
3999,Prom,tt0066250,movie,Prom,Prom,0,1970,\N,65,"Action,Thriller",both
4010,Prom,tt1604171,movie,Prom,Prom,0,2011,\N,104,"Comedy,Drama,Family",both
4041,Queen Of Katwe,tt4341582,movie,Queen Of Katwe,Queen of Katwe,0,2016,\N,124,"Biography,Drama,Sport",both
4042,Race To Witch Mountain,tt1075417,movie,Race To Witch Mountain,Race to Witch Mountain,0,2009,\N,98,"Action,Adventure,Family",both
4045,Ralph Breaks The Internet: Wreck-It Ralph 2,tt5848272,movie,Ralph Breaks The Internet,Ralph Breaks the Internet,0,2018,\N,112,"Adventure,Animation,Comedy",both
4046,Rascal,tt0064875,movie,Rascal,Rascal,0,1969,\N,85,"Drama,Family",both
4060,Ratatouille,tt0382932,movie,Ratatouille,Ratatouille,0,2007,\N,111,"Adventure,Animation,Comedy",both
4077,Raya And The Last Dragon,tt5109280,movie,Raya And The Last Dragon,Raya and the Last Dragon,0,2021,\N,107,"Action,Adventure,Animation",both
4082,Recess: School'S Out,tt0265632,movie,Recess: School'S Out,Recess: School's Out,0,2001,\N,82,"Adventure,Animation,Comedy",both
4084,Remember The Titans,tt0210945,movie,Remember The Titans,Remember the Titans,0,2000,\N,113,"Biography,Drama,Sport",both
4087,Return From Witch Mountain,tt0078158,movie,Return From Witch Mountain,Return from Witch Mountain,0,1978,\N,95,"Adventure,Family,Fantasy",both
4091,Return To Never Land,tt0280030,movie,Peter Pan 2: Return To Never Land,Return to Never Land,0,2002,\N,72,"Adventure,Animation,Family",both
4093,Return To Oz,tt0089908,movie,Return To Oz,Return to Oz,0,1985,\N,113,"Adventure,Family,Fantasy",both
4104,Return To Snowy River,tt0095993,movie,Return To Snowy River,The Man from Snowy River II,0,1988,\N,110,"Adventure,Drama,Western",both
4105,Ride A Wild Pony,tt0075141,movie,Ride A Wild Pony,Ride a Wild Pony,0,1975,\N,91,"Adventure,Family",both
4118,Rio,tt1436562,movie,Rio,Rio,0,2011,\N,96,"Adventure,Animation,Comedy",both
4150,Rio 2,tt2357291,movie,Rio 2,Rio 2,0,2014,\N,101,"Adventure,Animation,Comedy",both
4157,Rob Roy: The Highland Rogue,tt0046246,movie,Rob Roy: The Highland Rogue,Rob Roy: The Highland Rogue,0,1953,\N,81,"Adventure,Biography,Drama",both
4161,Robin Hood,tt0070608,movie,Robin Hood,Robin Hood,0,1973,\N,83,"Adventure,Animation,Comedy",both
4230,Robots,tt0358082,movie,Robots,Robots,0,2005,\N,91,"Adventure,Animation,Comedy",both
4243,Robots,tt12579470,movie,Robots,Robots,0,\N,\N,\N,"Comedy,Romance,Sci-Fi",both
4295,Rocketman,tt0120029,movie,Rocketman,RocketMan,0,1997,\N,95,"Comedy,Family,Sci-Fi",both
4318,Rogue One: A Star Wars Story,tt3748528,movie,Rogue One: A Star Wars Story,Rogue One,0,2016,\N,133,"Action,Adventure,Sci-Fi",both
4341,Santa Paws 2: The Santa Pups,tt2414212,movie,Santa Paws 2: The Santa Pups,Santa Paws 2: The Santa Pups,0,2012,\N,88,"Adventure,Family",both
4342,Savage Sam,tt0057473,movie,Savage Sam,Savage Sam,0,1963,\N,103,"Adventure,Drama,Family",both
4344,Saving Mr. Banks,tt2140373,movie,Saving Mr. Banks,Saving Mr. Banks,0,2013,\N,125,"Biography,Comedy,Drama",both
4350,Scandalous John,tt0067712,movie,Scandalous John,Scandalous John,0,1971,\N,113,"Comedy,Drama,Family",both
4352,Secretariat,tt1028576,movie,Secretariat,Secretariat,0,2010,\N,123,"Biography,Drama,Family",both
4360,Secrets Of Life,tt0049733,movie,Secrets Of Life,Secrets of Life,0,1956,\N,70,"Documentary,Family",both
4361,Secrets Of Life,tt2064925,movie,Secrets Of Life,Secrets of Life,0,2009,\N,100,Documentary,both
4368,Shang-Chi And The Legend Of The Ten Rings,tt9376612,movie,Shang-Chi And The Legend Of The Ten Rings,Shang-Chi and the Legend of the Ten Rings,0,2021,\N,132,"Action,Adventure,Fantasy",both
4372,Shipwrecked,tt0017379,movie,Shipwrecked,Shipwrecked,0,1926,\N,74,"Adventure,Drama,Romance",both
4373,Shipwrecked,tt0099816,movie,Shipwrecked,Haakon Haakonsen,0,1990,\N,92,"Adventure,Family",both
4432,Sky High,tt0405325,movie,Sky High,Sky High,0,2005,\N,100,"Action,Comedy,Family",both
4465,Sleeping Beauty (1959),tt0053285,movie,Sleeping Beauty,Sleeping Beauty,0,1959,\N,75,"Adventure,Animation,Family",both
4469,Smart House,tt6824720,movie,Smart House,Smart House,0,\N,\N,\N,"Horror,Thriller",both
4473,Smith!,tt0065003,movie,Smith!,Smith!,0,1969,\N,112,"Drama,Family,Western",both
4474,Snow Dogs,tt0281373,movie,Snow Dogs,Snow Dogs,0,2002,\N,99,"Adventure,Comedy,Family",both
4476,Snow White And The Seven Dwarfs,tt0029583,movie,Snow White And The Seven Dwarfs,Snow White and the Seven Dwarfs,0,1937,\N,83,"Adventure,Animation,Family",both
4492,Snowball Express,tt0069291,movie,Snowball Express,Snowball Express,0,1972,\N,93,"Comedy,Family",both
4494,So Dear To My Heart,tt0041890,movie,So Dear To My Heart,So Dear to My Heart,0,1948,\N,79,"Animation,Drama,Family",both
4506,Solo: A Star Wars Story,tt3778644,movie,Solo: A Star Wars Story,Solo: A Star Wars Story,0,2018,\N,135,"Action,Adventure,Sci-Fi",both
4523,Something Wicked This Way Comes,tt0086336,movie,Something Wicked This Way Comes,Something Wicked This Way Comes,0,1983,\N,95,"Fantasy,Mystery,Thriller",both
4549,Son Of Flubber,tt0057518,movie,Son Of Flubber,Son of Flubber,0,1963,\N,100,"Comedy,Family,Sci-Fi",both
4584,Soul,tt2948372,movie,Soul,Soul,0,2020,\N,100,"Adventure,Animation,Comedy",both
4598,Sounder,tt0069303,movie,Sounder,Sounder,0,1972,\N,105,"Drama,Family",both
4605,Spies In Disguise,tt5814534,movie,Spies In Disguise,Spies in Disguise,0,2019,\N,102,"Action,Adventure,Animation",both
4606,Squanto: A Warrior'S Tale,tt0111271,movie,Squanto: A Warrior'S Tale,Squanto: A Warrior's Tale,0,1994,\N,102,"Adventure,Biography,Drama",both
4736,Summer Magic,tt0057542,movie,Summer Magic,Summer Magic,0,1963,\N,110,"Comedy,Family,Musical",both
4738,Superdad,tt0070716,movie,Superdad,Superdad,0,1973,\N,96,"Comedy,Family",both
4749,Swiss Family Robinson,tt0054357,movie,Swiss Family Robinson,Swiss Family Robinson,0,1960,\N,126,"Adventure,Family",both
4761,Tall Tale: The Unbelievable Adventure,tt0111359,movie,Tall Tale,Tall Tale,0,1995,\N,96,"Adventure,Family,Fantasy",both
4767,Tangled,tt0398286,movie,Tangled,Tangled,0,2010,\N,100,"Adventure,Animation,Comedy",both
4797,Tarzan,tt0120855,movie,Tarzan,Tarzan,0,1999,\N,88,"Adventure,Animation,Comedy",both
4807,Tarzan,tt1705952,movie,Tarzan,Tarzan,0,2013,\N,94,"Action,Adventure,Animation",both
4819,Teacher'S Pet,tt0350194,movie,Teacher'S Pet,Teacher's Pet,0,2004,\N,73,"Adventure,Animation,Comedy",both
4917,Ten Who Dared,tt0054372,movie,Ten Who Dared,Ten Who Dared,0,1960,\N,92,"Adventure,Family,Western",both
4919,Tex,tt0084783,movie,Tex,Tex,0,1982,\N,103,Drama,both
4920,Tex,tt0169303,movie,Tex,Tex,0,1926,\N,\N,Western,both
4928,That Darn Cat,tt0120317,movie,That Darn Cat,That Darn Cat,0,1997,\N,89,"Action,Comedy,Crime",both
4932,That Darn Cat!,tt0059793,movie,That Darn Cat!,That Darn Cat!,0,1965,\N,116,"Comedy,Crime,Family",both
4940,The Adventures Of Bullwhip Griffin,tt0061333,movie,The Adventures Of Bullwhip Griffin,The Adventures of Bullwhip Griffin,0,1967,\N,108,"Action,Adventure,Comedy",both
4941,The Adventures Of Huck Finn,tt0106223,movie,The Adventures Of Huck Finn,The Adventures of Huck Finn,0,1993,\N,108,"Adventure,Comedy,Drama",both
4943,The Adventures Of Huck Finn,tt2081266,movie,The Adventures Of Huck Finn,Die Abenteuer des Huck Finn,0,2012,\N,99,"Adventure,Family",both
4944,The Adventures Of Ichabod And Mr. Toad,tt0041094,movie,The Adventures Of Ichabod And Mr. Toad,The Adventures of Ichabod and Mr. Toad,0,1949,\N,68,"Animation,Comedy,Family",both
4947,The African Lion,tt0047803,movie,The African Lion,The African Lion,0,1955,\N,75,"Documentary,Family",both
4948,The Apple Dumpling Gang,tt0072653,movie,The Apple Dumpling Gang,The Apple Dumpling Gang,0,1975,\N,100,"Comedy,Family,Western",both
4950,The Apple Dumpling Gang Rides Again,tt0078790,movie,The Apple Dumpling Gang Rides Again,The Apple Dumpling Gang Rides Again,0,1979,\N,88,"Comedy,Family,Western",both
4951,The Aristocats,tt0065421,movie,The Aristocats,The AristoCats,0,1970,\N,78,"Adventure,Animation,Comedy",both
4952,The Aristocats,tt17220728,movie,The Aristocats,The Aristocats,0,\N,\N,\N,Family,both
4955,The Barefoot Executive,tt0066811,movie,The Barefoot Executive,The Barefoot Executive,0,1971,\N,96,"Comedy,Family",both
4957,The Bears And I,tt0071199,movie,The Bears And I,The Bears and I,0,1974,\N,89,"Drama,Family",both
4958,The Bfg,tt0096866,movie,The Bfg,The BFG,0,1989,\N,91,"Adventure,Animation,Drama",both
4961,The Bfg,tt3691740,movie,The Bfg,The BFG,0,2016,\N,117,"Adventure,Family,Fantasy",both
4969,The Big Green,tt0112499,movie,The Big Green,The Big Green,0,1995,\N,100,"Comedy,Family,Sport",both
4972,The Biscuit Eater,tt0032254,movie,The Biscuit Eater,The Biscuit Eater,0,1940,\N,81,"Drama,Family",both
4973,The Biscuit Eater,tt0068276,movie,The Biscuit Eater,The Biscuit Eater,0,1972,\N,90,"Drama,Family",both
4974,The Black Cauldron,tt0088814,movie,The Black Cauldron,The Black Cauldron,0,1985,\N,80,"Action,Adventure,Animation",both
4982,The Black Hole,tt0078869,movie,The Black Hole,The Black Hole,0,1979,\N,98,"Action,Sci-Fi",both
5005,The Boatniks,tt0065482,movie,The Boatniks,The Boatniks,0,1970,\N,99,"Comedy,Family",both
5008,The Boys: The Sherman Brothers' Story,tt1015971,movie,The Boys,The Boys: The Sherman Brothers' Story,0,2009,\N,101,Documentary,both
5009,The Brave Little Toaster,tt0092695,movie,The Brave Little Toaster,The Brave Little Toaster,0,1987,\N,90,"Adventure,Animation,Family",both
5019,The Castaway Cowboy,tt0071288,movie,The Castaway Cowboy,The Castaway Cowboy,0,1974,\N,91,"Comedy,Family,Western",both
5021,The Cat From Outer Space,tt0077305,movie,The Cat From Outer Space,The Cat from Outer Space,0,1978,\N,104,"Comedy,Family,Sci-Fi",both
5029,The Christmas Star,tt0090840,movie,The Christmas Star,The Christmas Star,0,1986,\N,94,"Drama,Family",both
5033,The Christmas Star,tt3511874,movie,The Christmas Star,The Christmas Star,0,\N,\N,\N,"Drama,Family",both
5035,The Chronicles Of Narnia: Prince Caspian,tt0499448,movie,The Chronicles Of Narnia: Prince Caspian,The Chronicles of Narnia: Prince Caspian,0,2008,\N,150,"Action,Adventure,Family",both
5041,The Computer Wore Tennis Shoes,tt0065566,movie,The Computer Wore Tennis Shoes,The Computer Wore Tennis Shoes,0,1969,\N,91,"Comedy,Family,Sci-Fi",both
5043,The Country Bears,tt0276033,movie,The Country Bears,The Country Bears,0,2002,\N,88,"Comedy,Family,Music",both
5051,The Crimson Wing: Mystery Of The Flamingos,tt0902967,movie,The Crimson Wing: Mystery Of The Flamingos,The Crimson Wing: Mystery of the Flamingos,0,2008,\N,78,Documentary,both
5052,The Devil And Max Devlin,tt0082263,movie,The Devil And Max Devlin,The Devil and Max Devlin,0,1981,\N,96,"Comedy,Family,Fantasy",both
5055,The Duke,tt0196516,movie,The Duke,The Duke,0,1999,\N,88,"Comedy,Drama,Family",both
5074,The Emperor'S New Groove,tt0120917,movie,The Emperor'S New Groove,The Emperor's New Groove,0,2000,\N,78,"Adventure,Animation,Comedy",both
5087,The Fighting Prince Of Donegal,tt0060408,movie,The Fighting Prince Of Donegal,The Fighting Prince of Donegal,0,1966,\N,110,"Adventure,Biography,Family",both
5088,The Finest Hours,tt0058099,movie,The Finest Hours,The Finest Hours,0,1964,\N,116,"Biography,Documentary,War",both
5089,The Finest Hours,tt2025690,movie,The Finest Hours,The Finest Hours,0,2016,\N,117,"Action,Drama,History",both
5091,The Fox And The Hound,tt0082406,movie,The Fox And The Hound,The Fox and the Hound,0,1981,\N,83,"Adventure,Animation,Drama",both
5102,The Game Plan,tt0492956,movie,The Game Plan,The Game Plan,0,2007,\N,110,"Comedy,Family,Sport",both
5114,The Gnome-Mobile,tt0061715,movie,The Gnome-Mobile,The Gnome-Mobile,0,1967,\N,84,"Adventure,Family,Fantasy",both
5117,The Good Dinosaur,tt1979388,movie,The Good Dinosaur,The Good Dinosaur,0,2015,\N,93,"Adventure,Animation,Comedy",both
5127,The Great Locomotive Chase,tt0049279,movie,The Great Locomotive Chase,The Great Locomotive Chase,0,1956,\N,85,"Action,Adventure,Family",both
5128,The Great Mouse Detective,tt0091149,movie,The Great Mouse Detective,The Great Mouse Detective,0,1986,\N,74,"Adventure,Animation,Family",both
5134,The Great Muppet Caper,tt0082474,movie,The Great Muppet Caper,The Great Muppet Caper,0,1981,\N,97,"Adventure,Comedy,Crime",both
5137,The Greatest Game Ever Played,tt0388980,movie,The Greatest Game Ever Played,The Greatest Game Ever Played,0,2005,\N,120,"Biography,Drama,Sport",both
5140,The Greatest Game Ever Played,tt16358988,movie,The Greatest Game Ever Played,The Greatest Game Ever Played,0,\N,\N,\N,Documentary,both
5141,The Happiest Millionaire,tt0061749,movie,The Happiest Millionaire,The Happiest Millionaire,0,1967,\N,141,"Comedy,Family,Musical",both
5143,The Haunted Mansion,tt0338094,movie,The Haunted Mansion,The Haunted Mansion,0,2003,\N,99,"Comedy,Family,Fantasy",both
5151,The Horse In The Gray Flannel Suit,tt0063091,movie,The Horse In The Gray Flannel Suit,The Horse in the Gray Flannel Suit,0,1968,\N,113,"Comedy,Drama,Family",both
5157,The Hunchback Of Notre Dame,tt0116583,movie,The Hunchback Of Notre Dame,The Hunchback of Notre Dame,0,1996,\N,91,"Animation,Drama,Family",both
5191,The Incredible Journey,tt0057180,movie,The Incredible Journey,The Incredible Journey,0,1963,\N,80,"Adventure,Drama,Family",both
5199,The Incredibles,tt0317705,movie,The Incredibles,The Incredibles,0,2004,\N,115,"Action,Adventure,Animation",both
5208,The Island At The Top Of The World,tt0071671,movie,The Island At The Top Of The World,The Island at the Top of the World,0,1974,\N,93,"Adventure,Family,Fantasy",both
5209,The Journey Of Natty Gann,tt0089385,movie,The Journey Of Natty Gann,The Journey of Natty Gann,0,1985,\N,101,"Adventure,Family",both
5221,The Jungle Book 2,tt0283426,movie,The Jungle Book 2,The Jungle Book 2,0,2003,\N,72,"Adventure,Animation,Comedy",both
5228,The Kid,tt0219854,movie,The Kid,The Kid,0,2000,\N,104,"Comedy,Family,Fantasy",both
5297,The Last Flight Of Noah'S Ark,tt0081031,movie,The Last Flight Of Noah'S Ark,The Last Flight of Noah's Ark,0,1980,\N,97,"Adventure,Family",both
5298,The Legend Of Lobo,tt0056173,movie,The Legend Of Lobo,The Legend of Lobo,0,1962,\N,67,"Adventure,Family",both
5299,The Light In The Forest,tt0051864,movie,The Light In The Forest,The Light in the Forest,0,1958,\N,83,"Adventure,Drama,Family",both
5301,The Lion King,tt0110357,movie,The Lion King,The Lion King,0,1994,\N,88,"Adventure,Animation,Drama",both
5331,The Lion King,tt6105098,movie,The Lion King,The Lion King,0,2019,\N,118,"Adventure,Animation,Drama",both
5379,The Little Mermaid,tt0097757,movie,The Little Mermaid,The Little Mermaid,0,1989,\N,83,"Adventure,Animation,Comedy",both
5423,The Littlest Horse Thieves,tt0076320,movie,The Littlest Horse Thieves,Escape from the Dark,0,1976,\N,104,"Drama,Family",both
5424,The Littlest Outlaw,tt0048304,movie,The Littlest Outlaw,The Littlest Outlaw,0,1955,\N,73,"Drama,Family",both
5425,The Living Desert,tt0046008,movie,The Living Desert,The Living Desert,0,1953,\N,69,"Documentary,Family",both
5427,The Lizzie Mcguire Movie,tt0306841,movie,The Lizzie Mcguire Movie,The Lizzie McGuire Movie,0,2003,\N,94,"Adventure,Comedy,Family",both
5438,The Lone Ranger,tt1210819,movie,The Lone Ranger,The Lone Ranger,0,2013,\N,150,"Action,Adventure,Western",both
5451,The Love Bug,tt0064603,movie,The Love Bug,The Love Bug,0,1968,\N,108,"Comedy,Family,Sport",both
5465,The Many Adventures Of Winnie The Pooh,tt0076363,movie,The Many Adventures Of Winnie The Pooh,The Many Adventures of Winnie the Pooh,0,1977,\N,74,"Adventure,Animation,Comedy",both
5467,The Mighty Ducks,tt0104868,movie,The Mighty Ducks,The Mighty Ducks,0,1992,\N,104,"Comedy,Drama,Family",both
5471,The Million Dollar Duck,tt0066728,movie,The Million Dollar Duck,The Million Dollar Duck,0,1971,\N,89,"Comedy,Family,Sci-Fi",both
5472,The Million Dollar Duck,tt5372452,movie,The Million Dollar Duck,The Million Dollar Duck,0,2016,\N,71,Documentary,both
5473,The Miracle Worker,tt0056241,movie,The Miracle Worker,The Miracle Worker,0,1962,\N,106,"Biography,Drama",both
5475,The Miracle Worker,tt0233453,movie,The Miracle Worker,Chudesnitsa,0,1937,\N,78,Comedy,both
5482,The Misadventures Of Merlin Jones,tt0058355,movie,The Misadventures Of Merlin Jones,The Misadventures of Merlin Jones,0,1964,\N,91,"Comedy,Family,Sci-Fi",both
5483,The Monkey'S Uncle,tt0059462,movie,The Monkey'S Uncle,The Monkey's Uncle,0,1965,\N,91,"Comedy,Family,Sci-Fi",both
5487,The Moon-Spinners,tt0058371,movie,The Moon-Spinners,The Moon-Spinners,0,1964,\N,118,"Adventure,Family,Mystery",both
5488,The Muppet Christmas Carol,tt0104940,movie,The Muppet Christmas Carol,The Muppet Christmas Carol,0,1992,\N,85,"Comedy,Drama,Family",both
5500,The Muppets,tt1204342,movie,The Muppets,The Muppets,0,2011,\N,120,"Adventure,Comedy,Family",both
5519,The Music Man,tt0056262,movie,The Music Man,The Music Man,0,1962,\N,151,"Comedy,Family,Musical",both
5521,The Music Man,tt0385277,movie,The Music Man,Santouri,0,2007,\N,107,"Drama,Musical,Romance",both
5536,The North Avenue Irregulars,tt0079639,movie,The North Avenue Irregulars,The North Avenue Irregulars,0,1979,\N,100,"Action,Comedy,Crime",both
5538,The Nutcracker And The Four Realms,tt5523010,movie,The Nutcracker And The Four Realms,The Nutcracker and the Four Realms,0,2018,\N,99,"Adventure,Family,Fantasy",both
5542,The Odd Life Of Timothy Green,tt1462769,movie,The Odd Life Of Timothy Green,The Odd Life of Timothy Green,0,2012,\N,105,"Comedy,Drama,Family",both
5547,"The One And Only, Genuine, Original Family Band",tt0063389,movie,"The One And Only, Genuine, Original Family Band","The One and Only, Genuine, Original Family Band",0,1968,\N,110,"Comedy,Drama,Family",both
5548,The Other Side Of Heaven,tt0250371,movie,The Other Side Of Heaven,The Other Side of Heaven,0,2001,\N,113,"Adventure,Biography,Drama",both
5549,The Pacifier,tt0395699,movie,The Pacifier,The Pacifier,0,2005,\N,95,"Action,Comedy,Drama",both
5551,The Parent Trap,tt0055277,movie,The Parent Trap,The Parent Trap,0,1961,\N,129,"Comedy,Family,Romance",both
5552,The Parent Trap,tt0120783,movie,The Parent Trap,The Parent Trap,0,1998,\N,128,"Adventure,Comedy,Drama",both
5594,The Peanuts Movie,tt2452042,movie,The Peanuts Movie,The Peanuts Movie,0,2015,\N,88,"Adventure,Animation,Comedy",both
5604,The Perfect Game,tt0473102,movie,The Perfect Game,The Perfect Game,0,2009,\N,118,"Comedy,Drama,Family",both
5608,The Perfect Game,tt1935157,movie,The Perfect Game,Kanzenna yûgi,0,1958,\N,93,"Action,Crime",both
5613,The Pixar Story,tt1059955,movie,The Pixar Story,The Pixar Story,0,2007,\N,88,Documentary,both
5614,The Princess And The Frog,tt0780521,movie,The Princess And The Frog,The Princess and the Frog,0,2009,\N,97,"Adventure,Animation,Comedy",both
5627,The Princess Diaries,tt0247638,movie,The Princess Diaries,The Princess Diaries,0,2001,\N,115,"Comedy,Family,Romance",both
5632,The Princess Diaries 2: Royal Engagement,tt0368933,movie,The Princess Diaries 2: Royal Engagement,The Princess Diaries 2: Royal Engagement,0,2004,\N,113,"Comedy,Family,Romance",both
5636,The Reluctant Dragon,tt0034091,movie,The Reluctant Dragon,The Reluctant Dragon,0,1941,\N,74,"Animation,Comedy,Family",both
5647,The Rescuers,tt0076618,movie,The Rescuers,The Rescuers,0,1977,\N,78,"Adventure,Animation,Comedy",both
5650,The Rescuers,tt1346308,movie,The Rescuers,The Rescuers,0,2011,\N,94,Documentary,both
5663,The Rescuers Down Under,tt0100477,movie,The Rescuers Down Under,The Rescuers Down Under,0,1990,\N,77,"Adventure,Animation,Comedy",both
5668,The Rocketeer,tt0102803,movie,The Rocketeer,The Rocketeer,0,1991,\N,108,"Action,Adventure,Family",both
5681,The Rookie,tt0265662,movie,The Rookie,The Rookie,0,2002,\N,127,"Drama,Family,Sport",both
5712,The Santa Clause,tt0111070,movie,The Santa Clause,The Santa Clause,0,1994,\N,97,"Comedy,Drama,Family",both
5721,The Santa Clause 2,tt0304669,movie,The Santa Clause 2,The Santa Clause 2,0,2002,\N,104,"Comedy,Family,Fantasy",both
5723,The Santa Clause 3: The Escape Clause,tt0452681,movie,The Santa Clause 3: The Escape Clause,The Santa Clause 3: The Escape Clause,0,2006,\N,97,"Adventure,Comedy,Family",both
