Title,tconst,action,adventure,animation,averageRating,biography,budget_adj,comedy,crime,DIR Name,DIR nconst,DIR_AGE,DIR_COUNT,DIR_FILM_COUNT,DIR_RTG,documentary,drama,family,fantasy,fi,history,horror,music,musical,mystery,newmpaarating_G,newmpaarating_Not Rated,newmpaarating_PG,newmpaarating_PG-13,news,numVotes,rlsdt_day,rlsdt_dayofwk,rlsdt_mo,rlsdt_season,ROI,romance,runtimeMinutes,sci,sport,startYear,thriller,western,worldwide_adj,WTR_AGE,WTR_COUNT,WTR_FILM_COUNT,WTR_Nconst
Doctor Strange in the Multiverse of Madness,tt9419884,1,1,0,0,0,200000000,0,0,Sam Raimi,nm0000600,62,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,6.00,6,5,1,0,0,126,0,0,2022,0,0,0,0,0,0,"nm5642271, nm0228492, nm0498278"
The Bob's Burgers Movie,tt7466442,0,1,1,0,0,75000000,1,0,"Loren Bouchard Bernard Derriman""","nm0098908, nm0220615",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,27.00,5,5,1,0,0,102,0,0,2022,0,0,0,0,0,0,"nm0098908,nm0202458,nm2451853"
