,tconst,titleType,primaryTitle,startYear,runtimeMinutes,genres
388,tt0162222,movie,Cast Away,2000,143,"Adventure,Drama,Romance"
391,tt0338348,movie,The Polar Express,2004,100,"Adventure,Animation,Comedy"
392,tt0442933,movie,Beowulf,2007,115,"Action,Adventure,Animation"
398,tt0805647,movie,The Witches,2020,106,"Adventure,Comedy,Family"
399,tt0814214,movie,The Miraculous Journey of Edward Tulane,\N,\N,Fantasy
400,tt1067106,movie,A Christmas Carol,2009,96,"Adventure,Animation,Comedy"
401,tt18272208,movie,Here,\N,\N,Drama
402,tt1907668,movie,Flight,2012,138,"Drama,Thriller"
403,tt3289724,movie,Welcome to Marwen,2018,116,"Biography,Comedy,Drama"
404,tt3488710,movie,The Walk,2015,123,"Adventure,Biography,Drama"
405,tt3640424,movie,Allied,2016,124,"Action,Drama,Romance"
406,tt4593060,movie,Pinocchio,2022,\N,"Adventure,Comedy,Drama"
408,tt5304988,movie,Ares,\N,\N,"Drama,Sci-Fi"
410,tt8917520,movie,The King,\N,\N,"Action,Biography,Drama"
411,tt0373469,movie,Kiss Kiss Bang Bang,2005,103,"Comedy,Crime,Mystery"
412,tt1297469,movie,Cold Warrior,\N,\N,Drama
413,tt1300854,movie,Iron Man 3,2013,130,"Action,Adventure,Sci-Fi"
414,tt1606752,movie,Doc Savage,\N,\N,Adventure
415,tt18392014,movie,Play Dirty,\N,\N,Crime
416,tt2082453,movie,The Destroyer,\N,\N,"Action,Adventure"
417,tt3799694,movie,The Nice Guys,2016,116,"Action,Comedy,Crime"
418,tt3829266,movie,The Predator,2018,107,"Action,Adventure,Sci-Fi"
420,tt0092513,movie,Adventures in Babysitting,1987,102,"Adventure,Comedy,Crime"
421,tt0095288,movie,Heartbreak Hotel,1988,97,"Comedy,Musical,Romance"
422,tt0099785,movie,Home Alone,1990,103,"Comedy,Family"
423,tt0102598,movie,Only the Lonely,1991,104,"Comedy,Romance"
424,tt0104431,movie,Home Alone 2: Lost in New York,1992,120,"Adventure,Comedy,Crime"
425,tt0107614,movie,Mrs. Doubtfire,1993,125,"Comedy,Drama"
426,tt0113986,movie,Nine Months,1995,103,"Comedy,Romance"
427,tt0120686,movie,Stepmom,1998,125,"Comedy,Drama"
428,tt0182789,movie,Bicentennial Man,1999,132,"Comedy,Drama,Sci-Fi"
429,tt0241527,movie,Harry Potter and the Sorcerer's Stone,2001,152,"Adventure,Family,Fantasy"
430,tt0294870,movie,Rent,2005,135,"Drama,Musical,Romance"
431,tt0295297,movie,Harry Potter and the Chamber of Secrets,2002,161,"Adventure,Family,Fantasy"
432,tt0429478,movie,3-D Rocks,2005,\N,Documentary
433,tt0814255,movie,Percy Jackson & the Olympians: The Lightning Thief,2010,118,"Adventure,Family,Fantasy"
434,tt0976057,movie,The Secret Lives of Road Crews,\N,\N,"Action,Comedy"
435,tt1032815,movie,"I Love You, Beth Cooper",2009,102,"Comedy,Romance"
436,tt11057644,movie,The Christmas Chronicles: Part Two,2020,112,"Adventure,Comedy,Family"
437,tt1848925,movie,Hello Ghost,\N,\N,"Comedy,Drama,Romance"
438,tt2120120,movie,Pixels,2015,105,"Action,Comedy,Fantasy"
440,tt2343559,movie,Home Front,\N,\N,Drama
442,tt4590700,movie,Melody,\N,\N,Animation
444,tt0078324,movie,Stony Island,1978,95,"Drama,Music"
445,tt0082379,movie,The Final Terror,1983,84,Horror
446,tt0088936,movie,Code of Silence,1985,101,"Action,Crime,Drama"
447,tt0094602,movie,Above the Law,1988,99,"Action,Crime,Drama"
448,tt0098051,movie,The Package,1989,108,"Action,Crime,Drama"
449,tt0105690,movie,Under Siege,1992,103,"Action,Thriller"
450,tt0106977,movie,The Fugitive,1993,130,"Action,Crime,Drama"
451,tt0114536,movie,Steal Big Steal Little,1995,135,Comedy
452,tt0115857,movie,Chain Reaction,1996,107,"Action,Drama,Sci-Fi"
453,tt0120787,movie,A Perfect Murder,1998,107,"Crime,Drama,Thriller"
454,tt0233469,movie,Collateral Damage,2002,108,"Action,Drama,Thriller"
455,tt0311289,movie,Holes,2003,117,"Adventure,Comedy,Drama"
456,tt0406816,movie,The Guardian,2006,139,"Action,Adventure,Drama"
459,tt10837702,movie,Mentors - Tony & Santi,\N,\N,Documentary
461,tt15566366,movie,Civil Defense,\N,\N,Thriller
462,tt15566506,movie,Mentors the Series,\N,\N,Documentary
463,tt18264464,movie,My French Whore,\N,\N,Drama
464,tt3735542,movie,Silver's Gold: A Return to Treasure Island,\N,\N,Adventure
467,tt0091369,movie,Labyrinth,1986,101,"Adventure,Family,Fantasy"
528,tt0071853,movie,Monty Python and the Holy Grail,1975,91,"Adventure,Comedy,Fantasy"
529,tt0079470,movie,Life of Brian,1979,94,Comedy
530,tt0093727,movie,Personal Services,1987,105,Comedy
531,tt0097289,movie,Erik the Viking,1989,107,"Adventure,Comedy,Fantasy"
538,tt1727770,movie,Absolutely Anything,2015,85,"Comedy,Sci-Fi"
572,tt0080402,movie,The Awakening,1980,105,Horror
573,tt0082043,movie,Bad Blood,1981,105,"Drama,Thriller"
576,tt0088987,movie,Dance with a Stranger,1985,96,"Biography,Crime,Drama"
577,tt0092545,movie,Amazing Grace and Chuck,1987,114,"Drama,Sport"
578,tt0093103,movie,The Good Father,1985,90,Drama
579,tt0096146,movie,Soursweet,1988,110,Drama
580,tt0101811,movie,Enchanted April,1991,95,Drama
581,tt0104522,movie,Into the West,1992,97,"Adventure,Family,Fantasy"
582,tt0109831,movie,Four Weddings and a Funeral,1994,117,"Comedy,Drama,Romance"
583,tt0112427,movie,An Awfully Big Adventure,1995,112,"Comedy,Drama,Romance"
584,tt0119008,movie,Donnie Brasco,1997,127,"Biography,Crime,Drama"
585,tt0120797,movie,Pushing Tin,1999,124,"Comedy,Drama,Romance"
588,tt0250255,movie,Big Soft Nelly Mrs. Mouse,1971,\N,\N
597,tt0304415,movie,Mona Lisa Smile,2003,117,Drama
598,tt0330373,movie,Harry Potter and the Goblet of Fire,2005,157,"Adventure,Family,Fantasy"
601,tt0473075,movie,Prince of Persia: The Sands of Time,2010,116,"Action,Adventure,Fantasy"
602,tt0484740,movie,Love in the Time of Cholera,2007,139,"Drama,Romance"
622,tt0918506,movie,Comedy Workshop: Love and Maud Carver,1964,\N,Comedy
643,tt1289403,movie,The Guernsey Literary and Potato Peel Pie Society,2018,124,"Drama,Romance,War"
662,tt1731706,movie,The Day of the Triffids,\N,\N,Sci-Fi
663,tt1781003,movie,The Ambassadors,\N,\N,Drama
664,tt1836808,movie,Great Expectations,2012,128,"Drama,Romance"
671,tt0073239,movie,A Guy and a Gal,1975,94,"Comedy,Romance"
672,tt0075617,movie,ABBA: The Movie,1977,95,"Comedy,Documentary,Drama"
673,tt0079360,movie,Father to Be,1979,107,Comedy
674,tt0083238,movie,The Rooster,1981,97,"Comedy,Romance"
675,tt0086488,movie,Två killar och en tjej,1983,111,"Comedy,Romance"
676,tt0089606,movie,My Life as a Dog,1985,101,"Comedy,Drama"
677,tt0090610,movie,The Children of Noisy Village,1986,87,Family
678,tt0093524,movie,More About the Children of Noisy Village,1987,85,Family
679,tt0102590,movie,Once Around,1991,115,"Comedy,Drama,Romance"
680,tt0108550,movie,What's Eating Gilbert Grape,1993,118,Drama
681,tt0114496,movie,Something to Talk About,1995,106,"Comedy,Drama,Romance"
682,tt0120824,movie,The Shipping News,2001,111,Drama
683,tt0124315,movie,The Cider House Rules,1999,126,"Drama,Romance"
684,tt0241303,movie,Chocolat,2000,121,"Drama,Romance"
688,tt0350261,movie,An Unfinished Life,2005,108,"Drama,Family,Romance"
690,tt0402894,movie,Casanova,2005,112,"Adventure,Comedy,Drama"
691,tt0462338,movie,The Hoax,2006,116,"Biography,Comedy,Drama"
692,tt0477437,movie,Gyllene Tider: Parkliv,1981,50,"Documentary,Music"
695,tt0989757,movie,Dear John,2010,108,"Drama,Mystery,Romance"
697,tt1028532,movie,Hachi: A Dog's Tale,2009,93,"Biography,Drama,Family"
706,tt1441952,movie,Salmon Fishing in the Yemen,2011,107,"Comedy,Drama,Romance"
707,tt14620236,movie,Hilma,\N,\N,Biography
708,tt1556243,movie,The Hypnotist,2012,122,"Crime,Drama,Thriller"
709,tt1702439,movie,Safe Haven,2013,115,"Drama,Romance,Thriller"
710,tt1753383,movie,A Dog's Purpose,2017,100,"Adventure,Comedy,Drama"
716,tt2980648,movie,The Hundred-Foot Journey,2014,122,"Comedy,Drama"
717,tt3529186,movie,Titan: The Life of John D. Rockefeller,\N,\N,"Biography,Drama"
723,tt5523010,movie,The Nutcracker and the Four Realms,2018,99,"Adventure,Family,Fantasy"
728,tt7923136,movie,Testify,\N,\N,Drama
729,tt0050229,movie,The Careless Years,1957,70,"Drama,Romance"
731,tt0057312,movie,Miracle of the White Stallions,1963,118,"Adventure,Drama,Family"
732,tt0057681,movie,The Wheeler Dealers,1963,107,Comedy
733,tt0057840,movie,The Americanization of Emily,1964,115,"Comedy,Drama,Romance"
734,tt0060818,movie,Penelope,1966,97,"Comedy,Crime"
735,tt0060863,movie,Promise Her Anything,1966,98,"Comedy,Romance"
736,tt0062369,movie,The Tiger Makes Out,1967,94,Comedy
737,tt0062377,movie,Tobruk,1967,107,"Drama,War"
738,tt0064827,movie,Popi,1969,113,"Comedy,Drama"
739,tt0066011,movie,Love Story,1970,100,"Drama,Romance"
740,tt0066193,movie,The Out of Towners,1970,101,Comedy
741,tt0067217,movie,The Hospital,1971,103,"Comedy,Drama,Mystery"
742,tt0067589,movie,Plaza Suite,1971,114,"Comedy,Drama,Romance"
743,tt0068909,movie,Man of La Mancha,1972,132,"Drama,Fantasy,Musical"
744,tt0071370,movie,The Crazy World of Julius Vrooder,1974,98,"Comedy,Drama"
745,tt0073345,movie,The Man in the Glass Booth,1975,117,Drama
746,tt0075223,movie,Silver Streak,1976,114,"Action,Comedy,Crime"
747,tt0075409,movie,W.C. Fields and Me,1976,111,"Biography,Drama"
748,tt0079336,movie,The In-Laws,1979,103,"Action,Adventure,Comedy"
749,tt0079631,movie,Nightwing,1979,105,Horror
750,tt0083598,movie,Author! Author!,1982,110,"Comedy,Drama,Family"
751,tt0084293,movie,Making Love,1982,113,Drama
752,tt0086205,movie,Romantic Comedy,1983,103,"Comedy,Romance"
753,tt0087635,movie,The Lonely Guy,1984,90,"Comedy,Romance"
754,tt0088242,movie,Teachers,1984,107,"Comedy,Drama"
755,tt0093690,movie,Outrageous Fortune,1987,99,Comedy
756,tt0098282,movie,"See No Evil, Hear No Evil",1989,103,"Comedy,Crime"
757,tt0103035,movie,Taking Care of Business,1990,108,Comedy
758,tt0103747,movie,The Babe,1992,115,"Biography,Drama,Sport"
759,tt0107523,movie,Married to It,1991,112,"Comedy,Drama"
760,tt0115836,movie,Carpool,1996,89,Comedy
761,tt0118577,movie,An Alan Smithee Film: Burn Hollywood Burn,1997,86,Comedy
765,tt0407038,movie,Pucked,2006,83,"Comedy,Sport"
901,tt0040189,movie,Broken Journey,1948,89,Drama
902,tt0040335,movie,Quartet,1948,120,"Drama,Romance"
903,tt0040431,movie,Here Come the Huggetts,1948,93,"Comedy,Drama"
904,tt0040443,movie,Holiday Camp,1947,93,"Adventure,Comedy,Crime"
905,tt0040597,movie,Miranda,1948,80,"Comedy,Fantasy,Romance"
906,tt0041489,movie,The Huggetts Abroad,1949,89,Comedy
907,tt0041576,movie,Landfall,1949,86,"Drama,War"
908,tt0042028,movie,Vote for Huggett,1949,84,Comedy
909,tt0042410,movie,Double Confession,1950,80,"Crime,Drama"
910,tt0042752,movie,Trio,1950,91,"Drama,Romance"
911,tt0043658,movie,Hotel Sahara,1951,96,"Comedy,Romance,War"
912,tt0045005,movie,Outpost in Malaya,1952,91,"Adventure,Drama"
913,tt0045197,movie,The Story of Robin Hood and His Merrie Men,1952,84,"Action,Adventure,Family"
914,tt0046387,movie,The Sword and the Rose,1953,92,"Adventure,Drama,Family"
915,tt0047467,movie,Land of Fury,1954,86,"Adventure,Drama,History"
916,tt0047687,movie,You Know What Sailors Are,1954,89,Comedy
917,tt0048772,movie,Value for Money,1955,90,"Comedy,Romance"
918,tt0049451,movie,Loser Takes All,1956,88,Comedy
919,tt0049847,movie,Three Men in a Boat,1956,84,"Comedy,Romance"
920,tt0050097,movie,Across the Bridge,1957,103,"Crime,Drama,Thriller"
921,tt0052773,movie,Elephant Gun,1958,90,"Adventure,Drama"
922,tt0053352,movie,Third Man on the Mountain,1959,107,"Adventure,Drama,Family"
923,tt0054357,movie,Swiss Family Robinson,1960,126,"Adventure,Family"
924,tt0054968,movie,The Hellions,1961,86,"Adventure,Drama,Western"
925,tt0055593,movie,A Coming-Out Party,1961,98,Comedy
926,tt0055875,movie,Crooks Anonymous,1962,88,"Comedy,Crime"
927,tt0055977,movie,The Fast Lady,1962,95,Comedy
928,tt0056197,movie,The Longest Day,1962,178,"Action,Drama,History"
929,tt0058947,movie,Battle of the Bulge,1965,167,"Drama,History,War"
930,tt0059312,movie,Underworld Informers,1963,105,"Crime,Drama,Thriller"
931,tt0059797,movie,Those Magnificent Men in Their Flying Machines or How I Flew from London to Paris in 25 Hours 11 Minutes,1965,138,"Adventure,Comedy,Family"
932,tt0061916,movie,The Long Duel,1967,115,"Action,Adventure,Drama"
933,tt0062731,movie,The Biggest Bundle of Them All,1968,105,"Comedy,Crime"
934,tt0064688,movie,Those Daring Young Men in Their Jaunty Jalopies,1969,125,"Action,Comedy,Romance"
935,tt0069197,movie,The Call of the Wild,1972,105,"Adventure,Family,Western"
