,nconst,director,primaryName,birthYear,tconst,category,primaryTitle,runtimeMinutes,genres,mpaarating,rlsdt_dt,startYear,rlsdt_mo,rlsdt_day,rlsdt_daynm,budget_adj,worldwide_adj,ROI,averageRating,numVotes,_merge,age
2439,nm0064415,director,William Beaudine,1892.0,tt0028509,director,Windbag the Sailor,87.0,Comedy,error,1936-12-01,1936.0,12.0,1.0,Tuesday,0.0,0.0,,6.6,398.0,both,44.0
2440,nm0064415,director,William Beaudine,1892.0,tt0028856,director,Feather Your Nest,86.0,"Comedy,Musical",error,1937-07-19,1937.0,7.0,19.0,Monday,0.0,0.0,,6.6,95.0,both,45.0
2441,nm0064415,director,William Beaudine,1892.0,tt0029519,director,Said O'Reilly to McNab,80.0,Comedy,error,1938-02-18,1937.0,2.0,18.0,Friday,0.0,0.0,,6.4,39.0,both,45.0
2442,nm0064415,director,William Beaudine,1892.0,tt0029633,director,Take It from Me,78.0,"Comedy,Sport",error,1937-10-22,1937.0,10.0,22.0,Friday,0.0,0.0,,6.1,16.0,both,45.0
2443,nm0064415,director,William Beaudine,1892.0,tt0030882,director,Torchy Blane in Chinatown,58.0,"Action,Comedy,Crime",Passed,1939-02-04,1939.0,2.0,4.0,Saturday,0.0,0.0,,6.2,431.0,both,47.0
2444,nm0064415,director,William Beaudine,1892.0,tt0030884,director,Torchy Gets Her Man,63.0,"Comedy,Crime,Mystery",Approved,1938-11-12,1938.0,11.0,12.0,Saturday,0.0,0.0,,6.6,369.0,both,46.0
2445,nm0064415,director,William Beaudine,1892.0,tt0032351,director,Four Shall Die,72.0,"Crime,Horror",Approved,1940-10-15,1940.0,10.0,15.0,Tuesday,0.0,0.0,,5.7,13.0,both,48.0
2446,nm0064415,director,William Beaudine,1892.0,tt0032690,director,The Last Alarm,61.0,"Action,Adventure,Crime",Approved,1940-06-25,1940.0,6.0,25.0,Tuesday,0.0,0.0,,5.7,202.0,both,48.0
2447,nm0064415,director,William Beaudine,1892.0,tt0032799,director,Misbehaving Husbands,65.0,"Comedy,Romance",Approved,1940-12-20,1940.0,12.0,20.0,Friday,0.0,0.0,,5.2,150.0,both,48.0
2448,nm0064415,director,William Beaudine,1892.0,tt0033399,director,Blonde Comet,67.0,"Action,Drama,Romance",Passed,1941-12-26,1941.0,12.0,26.0,Friday,0.0,0.0,,5.1,98.0,both,49.0
2449,nm0064415,director,William Beaudine,1892.0,tt0033526,director,Desperate Cargo,67.0,"Crime,Drama,Romance",Passed,1941-07-04,1941.0,7.0,4.0,Friday,0.0,0.0,,5.3,127.0,both,49.0
2450,nm0064415,director,William Beaudine,1892.0,tt0033549,director,Double Trouble,63.0,Comedy,Passed,1941-11-21,1941.0,11.0,21.0,Friday,0.0,0.0,,5.8,25.0,both,49.0
2451,nm0064415,director,William Beaudine,1892.0,tt0033576,director,Emergency Landing,64.0,"Action,Drama,Romance",Passed,1941-03-07,1941.0,3.0,7.0,Friday,0.0,0.0,,4.2,218.0,both,49.0
2452,nm0064415,director,William Beaudine,1892.0,tt0033595,director,Federal Fugitives,66.0,"Crime,Drama,Romance",Passed,1941-03-29,1941.0,3.0,29.0,Saturday,0.0,0.0,,5.2,67.0,both,49.0
2453,nm0064415,director,William Beaudine,1892.0,tt0033613,director,Flying Wild,64.0,Comedy,Passed,1941-03-10,1941.0,3.0,10.0,Monday,0.0,0.0,,5.4,498.0,both,49.0
2454,nm0064415,director,William Beaudine,1892.0,tt0033856,director,Lady Luck,61.0,"Comedy,Thriller",Approved,1942-02-10,1942.0,2.0,10.0,Tuesday,0.0,0.0,,6.0,184.0,both,50.0
2455,nm0064415,director,William Beaudine,1892.0,tt0033925,director,Mr. Washington Goes to Town,64.0,Comedy,error,1941-05-09,1941.0,5.0,9.0,Friday,15000.0,0.0,-1.0,7.0,13.0,both,49.0
2457,nm0064415,director,William Beaudine,1892.0,tt0034689,director,Duke of the Navy,63.0,"Action,Adventure,Comedy",Approved,1942-01-23,1942.0,1.0,23.0,Friday,0.0,0.0,,6.0,34.0,both,50.0
2458,nm0064415,director,William Beaudine,1892.0,tt0034748,director,Foreign Agent,64.0,"Drama,War",Approved,1942-10-09,1942.0,10.0,9.0,Friday,0.0,0.0,,4.6,96.0,both,50.0
2459,nm0064415,director,William Beaudine,1892.0,tt0034766,director,Gallant Lady,68.0,"Crime,Drama,Romance",Approved,1942-05-29,1942.0,5.0,29.0,Friday,0.0,0.0,,5.9,25.0,both,50.0
2460,nm0064415,director,William Beaudine,1892.0,tt0034985,director,The Living Ghost,61.0,"Horror,Mystery,Thriller",Passed,1942-11-27,1942.0,11.0,27.0,Friday,0.0,0.0,,5.3,573.0,both,50.0
2461,nm0064415,director,William Beaudine,1892.0,tt0035057,director,Men of San Quentin,80.0,"Action,Crime,Drama",Passed,1942-05-15,1942.0,5.0,15.0,Friday,0.0,0.0,,5.0,59.0,both,50.0
2462,nm0064415,director,William Beaudine,1892.0,tt0035067,director,The Miracle Kid,69.0,"Comedy,Sport",Not Rated,1941-11-14,1941.0,11.0,14.0,Friday,0.0,0.0,,5.6,43.0,both,49.0
2463,nm0064415,director,William Beaudine,1892.0,tt0035089,director,Mr. Celebrity,67.0,"Comedy,Drama,Sport",Passed,1941-10-10,1941.0,10.0,10.0,Friday,0.0,0.0,,5.3,37.0,both,49.0
2464,nm0064415,director,William Beaudine,1892.0,tt0035152,director,One Thrilling Night,69.0,"Comedy,Mystery",Approved,1942-06-05,1942.0,6.0,5.0,Friday,0.0,0.0,,5.6,166.0,both,50.0
2465,nm0064415,director,William Beaudine,1892.0,tt0035171,director,The Panther's Claw,70.0,"Crime,Mystery",Passed,1942-05-15,1942.0,5.0,15.0,Friday,0.0,0.0,,5.8,246.0,both,50.0
2466,nm0064415,director,William Beaudine,1892.0,tt0035185,director,Phantom Killer,61.0,"Mystery,Romance,Thriller",Passed,1942-10-02,1942.0,10.0,2.0,Friday,0.0,0.0,,5.3,186.0,both,50.0
2468,nm0064415,director,William Beaudine,1892.0,tt0035640,director,The Ape Man,64.0,Drama,Passed,1943-03-05,1943.0,3.0,5.0,Friday,0.0,0.0,,4.4,1304.0,both,51.0
2469,nm0064415,director,William Beaudine,1892.0,tt0035741,director,Clancy Street Boys,66.0,Comedy,Passed,1943-04-23,1943.0,4.0,23.0,Friday,85000.0,0.0,-1.0,6.0,526.0,both,51.0
2470,nm0064415,director,William Beaudine,1892.0,tt0035939,director,Ghosts on the Loose,67.0,Comedy,Approved,1943-07-30,1943.0,7.0,30.0,Friday,85000.0,0.0,-1.0,5.0,1337.0,both,51.0
2471,nm0064415,director,William Beaudine,1892.0,tt0035988,director,Here Comes Kelly,64.0,"Comedy,Crime,Romance",Approved,1943-09-19,1943.0,9.0,19.0,Sunday,0.0,0.0,,5.1,80.0,both,51.0
2472,nm0064415,director,William Beaudine,1892.0,tt0036175,director,Mr. Muggs Steps Out,63.0,Comedy,Approved,1943-10-29,1943.0,10.0,29.0,Friday,85000.0,0.0,-1.0,5.9,294.0,both,51.0
2473,nm0064415,director,William Beaudine,1892.0,tt0036189,director,The Mystery of the 13th Guest,60.0,"Crime,Mystery,Romance",Passed,1943-11-05,1943.0,11.0,5.0,Friday,0.0,0.0,,5.4,672.0,both,51.0
2474,nm0064415,director,William Beaudine,1892.0,tt0036382,director,Spotlight Scandals,79.0,"Comedy,Drama,Music",Approved,1943-09-24,1943.0,9.0,24.0,Friday,0.0,0.0,,5.5,33.0,both,51.0
2475,nm0064415,director,William Beaudine,1892.0,tt0036525,director,What a Man!,67.0,Comedy,Passed,1944-01-31,1944.0,1.0,31.0,Monday,0.0,0.0,,5.5,53.0,both,52.0
2476,nm0064415,director,William Beaudine,1892.0,tt0036667,director,Bowery Champs,62.0,Comedy,Approved,1944-11-25,1944.0,11.0,25.0,Saturday,85000.0,0.0,-1.0,5.9,397.0,both,52.0
2477,nm0064415,director,William Beaudine,1892.0,tt0036728,director,Crazy Knights,63.0,"Comedy,Horror,Romance",Approved,1944-12-08,1944.0,12.0,8.0,Friday,0.0,0.0,,5.3,92.0,both,52.0
2478,nm0064415,director,William Beaudine,1892.0,tt0036758,director,Adventures of Kitty O'Day,63.0,"Comedy,Crime,Mystery",Approved,1945-01-19,1945.0,1.0,19.0,Friday,0.0,0.0,,5.2,165.0,both,53.0
2479,nm0064415,director,William Beaudine,1892.0,tt0036833,director,Follow the Leader,65.0,"Action,Adventure,Comedy",Approved,1944-06-03,1944.0,6.0,3.0,Saturday,85000.0,0.0,-1.0,5.8,313.0,both,52.0
2480,nm0064415,director,William Beaudine,1892.0,tt0036928,director,Hot Rhythm,79.0,"Comedy,Music,Romance",Passed,1944-04-22,1944.0,4.0,22.0,Saturday,0.0,0.0,,6.0,93.0,both,52.0
2481,nm0064415,director,William Beaudine,1892.0,tt0037012,director,Leave It to the Irish,71.0,"Action,Comedy,Drama",Approved,1944-08-26,1944.0,8.0,26.0,Saturday,0.0,0.0,,4.6,123.0,both,52.0
2482,nm0064415,director,William Beaudine,1892.0,tt0037145,director,"Oh, What a Night!",72.0,"Crime,Drama,Romance",Approved,1944-09-02,1944.0,9.0,2.0,Saturday,0.0,0.0,,5.9,44.0,both,52.0
2483,nm0064415,director,William Beaudine,1892.0,tt0037265,director,Shadow of Suspicion,68.0,"Comedy,Crime,Mystery",Approved,1944-09-23,1944.0,9.0,23.0,Saturday,0.0,0.0,,6.2,151.0,both,52.0
2484,nm0064415,director,William Beaudine,1892.0,tt0037441,director,Voodoo Man,62.0,"Crime,Drama,Horror",Approved,1944-02-21,1944.0,2.0,21.0,Monday,90000.0,0.0,-1.0,5.2,988.0,both,52.0
2485,nm0064415,director,William Beaudine,1892.0,tt0037543,director,Black Market Babies,71.0,"Crime,Drama",Approved,1945-12-15,1945.0,12.0,15.0,Saturday,0.0,0.0,,5.7,32.0,both,53.0
2486,nm0064415,director,William Beaudine,1892.0,tt0037546,director,Blonde Ransom,68.0,"Comedy,Drama",Approved,1945-05-01,1945.0,5.0,1.0,Tuesday,0.0,0.0,,5.7,15.0,both,53.0
2487,nm0064415,director,William Beaudine,1892.0,tt0037609,director,Come Out Fighting,62.0,Comedy,error,1945-09-29,1945.0,9.0,29.0,Saturday,85000.0,0.0,-1.0,6.1,358.0,both,53.0
2488,nm0064415,director,William Beaudine,1892.0,tt0037692,director,Fashion Model,61.0,"Adventure,Comedy,Crime",Not Rated,1945-03-02,1945.0,3.0,2.0,Friday,0.0,0.0,,5.2,183.0,both,53.0
2489,nm0064415,director,William Beaudine,1892.0,tt0038073,director,Girl on the Spot,75.0,"Crime,Drama,Film-Noir",Approved,1946-01-11,1946.0,1.0,11.0,Friday,0.0,0.0,,5.9,28.0,both,54.0
2490,nm0064415,director,William Beaudine,1892.0,tt0038144,director,Swingin' on a Rainbow,72.0,"Comedy,Music,Romance",Approved,1945-09-01,1945.0,9.0,1.0,Saturday,0.0,0.0,,5.2,12.0,both,53.0
2491,nm0064415,director,William Beaudine,1892.0,tt0038347,director,Behind the Mask,68.0,Mystery,Passed,1946-05-25,1946.0,5.0,25.0,Saturday,0.0,0.0,,4.9,171.0,both,54.0
2492,nm0064415,director,William Beaudine,1892.0,tt0038349,director,Below the Deadline,65.0,"Crime,Drama,Film-Noir",Approved,1946-08-03,1946.0,8.0,3.0,Saturday,0.0,0.0,,5.5,137.0,both,54.0
2493,nm0064415,director,William Beaudine,1892.0,tt0038485,director,Don't Gamble with Strangers,68.0,Drama,Approved,1946-06-22,1946.0,6.0,22.0,Saturday,0.0,0.0,,6.1,49.0,both,54.0
2494,nm0064415,director,William Beaudine,1892.0,tt0038514,director,The Face of Marble,72.0,Horror,Approved,1946-01-19,1946.0,1.0,19.0,Saturday,0.0,0.0,,4.9,342.0,both,54.0
2495,nm0064415,director,William Beaudine,1892.0,tt0038753,director,Mr. Hex,63.0,Comedy,Passed,1946-12-07,1946.0,12.0,7.0,Saturday,0.0,0.0,,5.9,291.0,both,54.0
2496,nm0064415,director,William Beaudine,1892.0,tt0038801,director,One Exciting Week,69.0,"Comedy,Crime,Romance",Approved,1946-06-08,1946.0,6.0,8.0,Saturday,0.0,0.0,,6.4,9.0,both,54.0
2497,nm0064415,director,William Beaudine,1892.0,tt0038926,director,The Shadow Returns,61.0,"Comedy,Crime,Mystery",Approved,1946-02-16,1946.0,2.0,16.0,Saturday,0.0,0.0,,5.4,236.0,both,54.0
2498,nm0064415,director,William Beaudine,1892.0,tt0038976,director,Spook Busters,68.0,Comedy,Passed,1946-08-24,1946.0,8.0,24.0,Saturday,0.0,0.0,,6.0,490.0,both,54.0
2499,nm0064415,director,William Beaudine,1892.0,tt0039002,director,Sweetheart of Sigma Chi,76.0,"Comedy,Music",Approved,1946-11-16,1946.0,11.0,16.0,Saturday,0.0,0.0,,6.6,20.0,both,54.0
2500,nm0064415,director,William Beaudine,1892.0,tt0039216,director,Bowery Buckaroos,66.0,"Comedy,Western",Passed,1947-11-22,1947.0,11.0,22.0,Saturday,0.0,0.0,,6.0,337.0,both,55.0
2501,nm0064415,director,William Beaudine,1892.0,tt0039262,director,The Chinese Ring,68.0,Mystery,Approved,1947-12-06,1947.0,12.0,6.0,Saturday,0.0,0.0,,5.8,564.0,both,55.0
2502,nm0064415,director,William Beaudine,1892.0,tt0039411,director,Gas House Kids Go West,62.0,"Adventure,Comedy,Sport",Passed,1947-06-12,1947.0,6.0,12.0,Thursday,0.0,0.0,,5.6,53.0,both,55.0
2503,nm0064415,director,William Beaudine,1892.0,tt0039447,director,Hard Boiled Mahoney,63.0,"Comedy,Crime,Mystery",Passed,1947-05-10,1947.0,5.0,10.0,Saturday,0.0,0.0,,6.2,308.0,both,55.0
2504,nm0064415,director,William Beaudine,1892.0,tt0039656,director,News Hounds,68.0,"Comedy,Family",Approved,1947-09-13,1947.0,9.0,13.0,Saturday,0.0,0.0,,6.3,276.0,both,55.0
2505,nm0064415,director,William Beaudine,1892.0,tt0039701,director,Philo Vance Returns,64.0,"Action,Crime,Mystery",Passed,1947-04-14,1947.0,4.0,14.0,Monday,0.0,0.0,,5.8,158.0,both,55.0
2506,nm0064415,director,William Beaudine,1892.0,tt0039906,director,Too Many Winners,61.0,"Crime,Drama,Mystery",Approved,1947-05-24,1947.0,5.0,24.0,Saturday,0.0,0.0,,6.1,62.0,both,55.0
2507,nm0064415,director,William Beaudine,1892.0,tt0040097,director,Angels' Alley,67.0,Comedy,Passed,1948-03-07,1948.0,3.0,7.0,Sunday,0.0,0.0,,6.0,241.0,both,56.0
2508,nm0064415,director,William Beaudine,1892.0,tt0040347,director,The Feathered Serpent,61.0,Mystery,Approved,1948-12-19,1948.0,12.0,19.0,Sunday,0.0,0.0,,6.0,387.0,both,56.0
2509,nm0064415,director,William Beaudine,1892.0,tt0040394,director,The Golden Eye,69.0,"Crime,Mystery",Approved,1948-08-29,1948.0,8.0,29.0,Sunday,0.0,0.0,,5.9,558.0,both,56.0
2510,nm0064415,director,William Beaudine,1892.0,tt0040488,director,Jiggs and Maggie in Court,66.0,"Action,Comedy,Music",Passed,1948-12-12,1948.0,12.0,12.0,Sunday,0.0,0.0,,7.9,19.0,both,56.0
2511,nm0064415,director,William Beaudine,1892.0,tt0040489,director,Jinx Money,68.0,"Comedy,Crime",Approved,1948-06-27,1948.0,6.0,27.0,Sunday,0.0,0.0,,6.2,259.0,both,56.0
2512,nm0064415,director,William Beaudine,1892.0,tt0040507,director,Kidnapped,81.0,"Adventure,Drama,Romance",Approved,1948-11-28,1948.0,11.0,28.0,Sunday,0.0,0.0,,6.0,257.0,both,56.0
2513,nm0064415,director,William Beaudine,1892.0,tt0040603,director,Mom and Dad,97.0,Drama,R,1949-04-04,1945.0,4.0,4.0,Monday,65000.0,0.0,-1.0,5.1,207.0,both,53.0
2514,nm0064415,director,William Beaudine,1892.0,tt0040743,director,Rocky,76.0,Drama,Approved,1948-01-17,1948.0,1.0,17.0,Saturday,0.0,0.0,,6.7,51.0,both,56.0
2515,nm0064415,director,William Beaudine,1892.0,tt0040778,director,Shanghai Chest,65.0,Mystery,Approved,1948-07-11,1948.0,7.0,11.0,Sunday,0.0,0.0,,5.9,283.0,both,56.0
2516,nm0064415,director,William Beaudine,1892.0,tt0040805,director,Smugglers' Cove,66.0,"Comedy,Crime,Family",Passed,1948-10-10,1948.0,10.0,10.0,Sunday,0.0,0.0,,6.3,328.0,both,56.0
2517,nm0064415,director,William Beaudine,1892.0,tt0041384,director,Forgotten Women,65.0,Drama,error,1949-07-17,1949.0,7.0,17.0,Sunday,0.0,0.0,,6.4,11.0,both,57.0
2518,nm0064415,director,William Beaudine,1892.0,tt0041508,director,Incident,66.0,"Crime,Film-Noir,Thriller",Approved,1948-10-30,1948.0,10.0,30.0,Saturday,0.0,0.0,,6.5,95.0,both,56.0
2519,nm0064415,director,William Beaudine,1892.0,tt0041516,director,Jiggs and Maggie in Jackpot Jitters,67.0,"Comedy,Crime",Approved,1949-08-28,1949.0,8.0,28.0,Sunday,0.0,0.0,,7.0,18.0,both,57.0
2520,nm0064415,director,William Beaudine,1892.0,tt0041976,director,Tough Assignment,64.0,"Drama,Western",Passed,1949-11-15,1949.0,11.0,15.0,Tuesday,0.0,0.0,,5.5,111.0,both,57.0
2521,nm0064415,director,William Beaudine,1892.0,tt0041981,director,Trail of the Yukon,67.0,"Adventure,Romance,Western",Approved,1949-07-31,1949.0,7.0,31.0,Sunday,0.0,0.0,,5.6,37.0,both,57.0
2522,nm0064415,director,William Beaudine,1892.0,tt0041995,director,Tuna Clipper,77.0,Drama,error,1949-04-10,1949.0,4.0,10.0,Sunday,0.0,0.0,,7.0,31.0,both,57.0
2523,nm0064415,director,William Beaudine,1892.0,tt0042262,director,Blonde Dynamite,66.0,"Comedy,Crime,Family",Approved,1950-02-12,1950.0,2.0,12.0,Sunday,0.0,0.0,,6.3,350.0,both,58.0
2524,nm0064415,director,William Beaudine,1892.0,tt0042264,director,Blue Grass of Kentucky,72.0,"Drama,Sport",Passed,1950-01-22,1950.0,1.0,22.0,Sunday,0.0,0.0,,6.1,32.0,both,58.0
2525,nm0064415,director,William Beaudine,1892.0,tt0042266,director,Blues Busters,67.0,"Action,Adventure,Comedy",Passed,1950-10-29,1950.0,10.0,29.0,Sunday,0.0,0.0,,6.6,440.0,both,58.0
2526,nm0064415,director,William Beaudine,1892.0,tt0042348,director,County Fair,76.0,Drama,error,1950-07-30,1950.0,7.0,30.0,Sunday,0.0,0.0,,6.0,28.0,both,58.0
2527,nm0064415,director,William Beaudine,1892.0,tt0042615,director,Jiggs and Maggie Out West,66.0,"Action,Adventure,Comedy",Approved,1950-04-23,1950.0,4.0,23.0,Sunday,0.0,0.0,,5.8,39.0,both,58.0
2528,nm0064415,director,William Beaudine,1892.0,tt0042693,director,Lucky Losers,70.0,"Action,Adventure,Comedy",Passed,1950-05-14,1950.0,5.0,14.0,Sunday,0.0,0.0,,6.4,303.0,both,58.0
2529,nm0064415,director,William Beaudine,1892.0,tt0043356,director,Bowery Battalion,69.0,"Action,Comedy",Passed,1951-01-24,1951.0,1.0,24.0,Wednesday,0.0,0.0,,6.2,314.0,both,59.0
2530,nm0064415,director,William Beaudine,1892.0,tt0043432,director,Crazy Over Horses,65.0,Comedy,Approved,1951-11-18,1951.0,11.0,18.0,Sunday,0.0,0.0,,6.1,279.0,both,59.0
2531,nm0064415,director,William Beaudine,1892.0,tt0043437,director,Cuban Fireball,78.0,"Comedy,Musical,Romance",Approved,1951-03-05,1951.0,3.0,5.0,Monday,0.0,0.0,,7.5,17.0,both,59.0
2532,nm0064415,director,William Beaudine,1892.0,tt0043585,director,Ghost Chasers,69.0,"Action,Adventure,Comedy",Approved,1951-04-29,1951.0,4.0,29.0,Sunday,0.0,0.0,,6.2,446.0,both,59.0
2533,nm0064415,director,William Beaudine,1892.0,tt0043623,director,Havana Rose,77.0,"Comedy,Music,Romance",Approved,1951-09-15,1951.0,9.0,15.0,Saturday,183744.0,0.0,-1.0,6.8,16.0,both,59.0
2534,nm0064415,director,William Beaudine,1892.0,tt0043735,director,Let's Go Navy!,68.0,"Comedy,Family",Approved,1951-07-29,1951.0,7.0,29.0,Sunday,0.0,0.0,,6.3,291.0,both,59.0
2535,nm0064415,director,William Beaudine,1892.0,tt0043936,director,The Lawton Story,120.0,"Drama,Family",error,1950-06-09,1949.0,6.0,9.0,Friday,0.0,0.0,,6.0,33.0,both,57.0
2536,nm0064415,director,William Beaudine,1892.0,tt0044406,director,Bela Lugosi Meets a Brooklyn Gorilla,74.0,"Comedy,Horror,Sci-Fi",Not Rated,1952-10-08,1952.0,10.0,8.0,Wednesday,50000.0,0.0,-1.0,3.7,2446.0,both,60.0
2537,nm0064415,director,William Beaudine,1892.0,tt0044612,director,Feudin' Fools,63.0,Comedy,Approved,1952-09-21,1952.0,9.0,21.0,Sunday,0.0,0.0,,6.2,298.0,both,60.0
2538,nm0064415,director,William Beaudine,1892.0,tt0044700,director,Here Come the Marines,66.0,Comedy,Approved,1952-06-29,1952.0,6.0,29.0,Sunday,0.0,0.0,,6.1,246.0,both,60.0
2539,nm0064415,director,William Beaudine,1892.0,tt0044714,director,Hold That Line,67.0,"Action,Comedy,Sport",Approved,1952-03-23,1952.0,3.0,23.0,Sunday,0.0,0.0,,6.1,274.0,both,60.0
2540,nm0064415,director,William Beaudine,1892.0,tt0044767,director,Jet Job,63.0,"Action,Adventure,Crime",Passed,1952-04-06,1952.0,4.0,6.0,Sunday,0.0,0.0,,5.3,16.0,both,60.0
2541,nm0064415,director,William Beaudine,1892.0,tt0044969,director,No Holds Barred,65.0,"Comedy,Family",error,1952-11-23,1952.0,11.0,23.0,Sunday,0.0,0.0,,6.2,293.0,both,60.0
2542,nm0064415,director,William Beaudine,1892.0,tt0045096,director,Rodeo,70.0,"Action,Romance,Sport",Passed,1952-03-09,1952.0,3.0,9.0,Sunday,0.0,0.0,,6.8,15.0,both,60.0
2543,nm0064415,director,William Beaudine,1892.0,tt0045104,director,The Rose Bowl Story,73.0,"Comedy,Drama,Romance",Passed,1952-08-24,1952.0,8.0,24.0,Sunday,0.0,0.0,,5.3,83.0,both,60.0
2544,nm0064415,director,William Beaudine,1892.0,tt0045573,director,Born to the Saddle,77.0,Western,Approved,1953-03-15,1953.0,3.0,15.0,Sunday,0.0,0.0,,5.8,98.0,both,61.0
2545,nm0064415,director,William Beaudine,1892.0,tt0045926,director,Jalopy,62.0,"Comedy,Family",Approved,1953-02-15,1953.0,2.0,15.0,Sunday,0.0,0.0,,6.2,324.0,both,61.0
2546,nm0064415,director,William Beaudine,1892.0,tt0046105,director,Murder Without Tears,65.0,"Action,Thriller",Approved,1953-06-14,1953.0,6.0,14.0,Sunday,0.0,0.0,,5.8,34.0,both,61.0
2547,nm0064415,director,William Beaudine,1892.0,tt0046245,director,Roar of the Crowd,71.0,"Action,Drama,Sport",Approved,1953-05-31,1953.0,5.0,31.0,Sunday,0.0,0.0,,6.5,12.0,both,61.0
2548,nm0064415,director,William Beaudine,1892.0,tt0047331,director,Paris Playboys,62.0,"Comedy,Family",Approved,1954-03-07,1954.0,3.0,7.0,Sunday,0.0,0.0,,6.1,276.0,both,62.0
2549,nm0064415,director,William Beaudine,1892.0,tt0047363,director,Pride of the Blue Grass,71.0,Drama,Approved,1954-04-04,1954.0,4.0,4.0,Sunday,0.0,0.0,,6.4,42.0,both,62.0
2550,nm0064415,director,William Beaudine,1892.0,tt0047690,director,Yukon Vengeance,68.0,"Adventure,Western",Approved,1954-01-17,1954.0,1.0,17.0,Sunday,0.0,0.0,,5.7,28.0,both,62.0
2551,nm0064415,director,William Beaudine,1892.0,tt0048166,director,High Society,61.0,"Comedy,Family",Approved,1955-04-17,1955.0,4.0,17.0,Sunday,0.0,0.0,,6.1,354.0,both,63.0
2552,nm0064415,director,William Beaudine,1892.0,tt0048222,director,Jail Busters,61.0,"Comedy,Family",Approved,1955-09-18,1955.0,9.0,18.0,Sunday,0.0,0.0,,6.3,305.0,both,63.0
2553,nm0064415,director,William Beaudine,1892.0,tt0049945,director,"Westward Ho, the Wagons!",90.0,"Family,Western",Approved,1956-12-20,1956.0,12.0,20.0,Thursday,0.0,0.0,,5.8,346.0,both,64.0
2554,nm0064415,director,William Beaudine,1892.0,tt0051143,director,Up in Smoke,61.0,"Comedy,Family",Approved,1957-12-22,1957.0,12.0,22.0,Sunday,0.0,0.0,,5.9,155.0,both,65.0
2555,nm0064415,director,William Beaudine,1892.0,tt0051771,director,In the Money,61.0,"Comedy,Family",Approved,1958-02-16,1958.0,2.0,16.0,Sunday,0.0,0.0,,5.5,164.0,both,66.0
2556,nm0064415,director,William Beaudine,1892.0,tt0054372,director,Ten Who Dared,92.0,"Adventure,Family,Western",Not Rated,1960-11-01,1960.0,11.0,1.0,Tuesday,0.0,0.0,,5.5,254.0,both,68.0
2557,nm0064415,director,William Beaudine,1892.0,tt0060168,director,Billy the Kid Versus Dracula,74.0,"Action,Drama,Horror",Passed,1966-04-10,1966.0,4.0,10.0,Sunday,0.0,0.0,,3.8,1997.0,both,74.0
2558,nm0064415,director,William Beaudine,1892.0,tt0060558,director,Jesse James Meets Frankenstein's Daughter,88.0,"Horror,Sci-Fi,Western",Approved,1966-04-10,1966.0,4.0,10.0,Sunday,0.0,0.0,,3.3,1879.0,both,74.0
2559,nm0064415,director,William Beaudine,1892.0,tt0122324,director,Yukon Gold,62.0,"Action,Adventure,Western",Approved,1952-08-31,1952.0,8.0,31.0,Sunday,0.0,0.0,,5.5,61.0,both,60.0
2560,nm0064415,director,William Beaudine,1892.0,tt0126993,director,Lassie's Great Adventure,86.0,"Drama,Family",Approved,1963-08-01,1963.0,8.0,1.0,Thursday,0.0,0.0,,6.0,239.0,both,71.0
2561,nm0064415,director,William Beaudine,1892.0,tt0130060,director,Killer at Large,61.0,"Crime,Drama,Romance",Approved,1947-05-31,1947.0,5.0,31.0,Saturday,0.0,0.0,,7.2,14.0,both,55.0
2562,nm0064415,director,William Beaudine,1892.0,tt0148436,director,The Mad Parade,63.0,"Drama,War",Passed,1931-09-18,1931.0,9.0,18.0,Friday,0.0,0.0,,7.0,57.0,both,39.0
2563,nm0064415,director,William Beaudine,1892.0,tt0151558,director,The Mickey Mouse Anniversary Show,84.0,Family,error,1968-12-22,1968.0,12.0,22.0,Sunday,0.0,0.0,,6.8,44.0,both,76.0
2567,nm0064415,director,William Beaudine,1892.0,tt0187039,director,Fury of the Dragon,89.0,"Action,Adventure,Crime",error,1976-06-01,1976.0,6.0,1.0,Tuesday,0.0,0.0,,5.3,283.0,both,84.0
2570,nm0064415,director,William Beaudine,1892.0,tt0207407,director,Detective Kitty O'Day,61.0,"Comedy,Mystery,Romance",Approved,1944-05-13,1944.0,5.0,13.0,Saturday,0.0,0.0,,5.4,257.0,both,52.0
2592,nm0064415,director,William Beaudine,1892.0,tt0294274,director,Again... Pioneers,72.0,"Drama,Family",error,1950-11-02,1950.0,11.0,2.0,Thursday,0.0,0.0,,6.7,31.0,both,58.0
2594,nm0064415,director,William Beaudine,1892.0,tt0306057,director,Second Chance,72.0,"Drama,Romance,War",Approved,1950-09-06,1950.0,9.0,6.0,Wednesday,0.0,0.0,,5.6,52.0,both,58.0
2851,nm0064415,director,William Beaudine,1892.0,tt0827709,director,The Green Hornet,90.0,"Action,Crime,Sci-Fi",PG,1974-10-01,1974.0,10.0,1.0,Tuesday,0.0,0.0,,5.1,324.0,both,82.0
2954,nm0065608,director,Walt Becker,1968.0,tt0218864,director,Buying the Cow,88.0,"Comedy,Romance",R,2002-06-08,2002.0,6.0,8.0,Saturday,0.0,0.0,,5.8,7108.0,both,34.0
