,nconst,writer,primaryName,birthYear,tconst,category,primaryTitle,runtimeMinutes,genres,mpaarating,rlsdt_dt,startYear,rlsdt_mo,rlsdt_day,rlsdt_daynm,budget_adj,worldwide_adj,ROI,averageRating,numVotes,_merge,age
52475,nm0854185,writer,Miguel Tejada-Flores,1951.0,tt0088000,writer,Revenge of the Nerds,90.0,Comedy,R,1984-08-10,1984.0,8.0,10.0,Friday,8000000.0,40874452.0,4.1093065,6.6,52765.0,both,33.0
52476,nm0854185,writer,Miguel Tejada-Flores,1951.0,tt0093539,writer,Million Dollar Mystery,95.0,"Comedy,Mystery",PG,1987-06-12,1987.0,6.0,12.0,Friday,10000000.0,989033.0,-0.9010967,5.1,488.0,both,36.0
52477,nm0854185,writer,Miguel Tejada-Flores,1951.0,tt0093857,writer,Revenge of the Nerds II: Nerds in Paradise,88.0,Comedy,PG-13,1987-07-10,1987.0,7.0,10.0,Friday,0.0,30063289.0,inf,5.0,14285.0,both,36.0
52478,nm0854185,writer,Miguel Tejada-Flores,1951.0,tt0094140,writer,Three for the Road,88.0,"Comedy,Drama",PG,1987-07-24,1987.0,7.0,24.0,Friday,0.0,1539000.0,inf,5.3,1106.0,both,36.0
52479,nm0854185,writer,Miguel Tejada-Flores,1951.0,tt0097390,writer,Fright Night Part 2,104.0,"Comedy,Horror,Thriller",R,1989-05-19,1988.0,5.0,19.0,Friday,7500000.0,2983784.0,-0.6021621333333333,5.9,12568.0,both,37.0
52480,nm0854185,writer,Miguel Tejada-Flores,1951.0,tt0100430,writer,The Psychic,92.0,"Horror,Thriller",R,1992-05-20,1991.0,5.0,20.0,Wednesday,0.0,0.0,,5.1,368.0,both,40.0
52484,nm0854185,writer,Miguel Tejada-Flores,1951.0,tt0107147,writer,A House in the Hills,95.0,"Romance,Thriller",R,1995-04-28,1993.0,4.0,28.0,Friday,0.0,0.0,,5.6,1297.0,both,42.0
52485,nm0854185,writer,Miguel Tejada-Flores,1951.0,tt0109086,writer,Almost Dead,92.0,"Horror,Mystery,Thriller",Unrated,1994-03-21,1994.0,3.0,21.0,Monday,0.0,0.0,,4.6,495.0,both,43.0
52488,nm0854185,writer,Miguel Tejada-Flores,1951.0,tt0112838,writer,Deceptions II: Edge of Deception,100.0,"Drama,Thriller",R,1995-09-15,1994.0,9.0,15.0,Friday,0.0,0.0,,4.6,146.0,both,43.0
52489,nm0854185,writer,Miguel Tejada-Flores,1951.0,tt0114367,writer,Screamers,108.0,"Horror,Sci-Fi,Thriller",R,1996-01-26,1995.0,1.0,26.0,Friday,20000000.0,5711695.0,-0.71441525,6.3,26833.0,both,44.0
