US Release,Other Release Date,Title,Co-production companies,Category,Direct to video or streaming exclusive Disney+,Premium video on demand release through Disney+,Simultaneous release to theatres and on premium video on demand,non-US Film,Notes
6/21/2019,,Toy Story 4,Pixar Animation Studios,Animated,,,,,
7/19/2019,,The Lion King,Fairview Entertainment,Combines animation and live action,,,,,
10/18/2019,,Maleficent: Mistress of Evil,Roth Films,Live Action,,,,,
11/12/2019,,Lady and the Tramp ,Taylor Made,Live Action,Direct to video or streaming exclusive Disney+,,,,
11/12/2019,,Noelle ,,Live Action,Direct to video or streaming exclusive Disney+,,,,
11/22/2019,,Frozen II,Walt Disney Animation Studios,Animated,,,,,
12/20/2019,,Togo ,,Live Action,Direct to video or streaming exclusive Disney+,,,,
2/7/2020,,Timmy Failure: Mistakes Were Made ,"Etalon Films, Slow Pony Pictures and Whitaker Entertainment",Live Action,Direct to video or streaming exclusive Disney+,,,,
3/6/2020,,Onward,Pixar Animation Studios,Animated,,,,,
3/13/2020,,Stargirl ,Gotham Group and Hahnscape Entertainment,Live Action,Direct to video or streaming exclusive Disney+,,,,
4/3/2020,,Dolphin Reef ,,True-Life Adventures / Disneynature documentary film,Direct to video or streaming exclusive Disney+,,,,
4/3/2020,,Elephant ,,True-Life Adventures / Disneynature documentary film,Direct to video or streaming exclusive Disney+,,,,
6/12/2020,,Artemis Fowl ,TriBeCa Productions and Marzano Films,Live Action,Direct to video or streaming exclusive Disney+,,,,
7/3/2020,,Hamilton ,"5000 Broadway Productions, Nevis Productions, Old 320 Sycamore Pictures and RadicalMedia",Live Action,Direct to video or streaming exclusive Disney+,,,,
7/31/2020,,Black Is King ,Parkwood Entertainment,Live Action,Direct to video or streaming exclusive Disney+,,,,
8/14/2020,,Magic Camp ,Team Todd,Live Action,Direct to video or streaming exclusive Disney+,,,,
8/21/2020,,The One and Only Ivan ,Jolie Pas Productions,Live Action,Direct to video or streaming exclusive Disney+,,,,
9/4/2020,,Mulan ,Jason T. Reed Productions and Good Fear Productions,Live Action,,Premium video on demand release through Disney+,,,
12/25/2020,,Soul ,Pixar Animation Studios,Animated,Direct to video or streaming exclusive Disney+,,,,
1/1/2021,,The Last Warrior: Root of Evil ,"Russian film; Yellow, Black & White, Cinema Fund Russia, and Russia-1",Live Action,,,,non-US Film,
2/19/2021,,Flora & Ulysses ,Netter Productions,Live Action,Direct to video or streaming exclusive Disney+,,,,
3/5/2021,,Raya and the Last Dragon ,Walt Disney Animation Studios,Animated,,,Simultaneous release to theatres and on premium video on demand,,
5/28/2021,,Cruella ,Gunn Films and Marc Platt Productions,Live Action,,,Simultaneous release to theatres and on premium video on demand,,
12/3/2021,,Diary of a Wimpy Kid,20th Century Animation,Animated,,,,,
12/4/2020,,Godmothered ,The Montecito Picture Company,Live Action,Direct to video or streaming exclusive Disney+,,,,
12/11/2020,,Safety ,Mayhem Pictures and Select Films,Live Action,Direct to video or streaming exclusive Disney+,,,,
7/30/2021,,Jungle Cruise ,"Davis Entertainment, Flynn Picture Company and Seven Bucks Productions",Live Action,,,Simultaneous release to theatres and on premium video on demand,,
6/18/2021,,Luca ,Pixar Animation Studios,Animated,Direct to video or streaming exclusive Disney+,,,,
11/24/2021,,Encanto,Walt Disney Animation Studios,Animated,,,,,
